opportunity_id,org,programme,status,applied_on,deadline,notes
optiver-futurefocus-2026,Optiver,FutureFocus Singapore Trading & Research,prep,,2026-07-31,DEADLINE 31 Jul 2026
janestreet-hk-winter-2026,Jane Street,HK Quantitative Trader / QR / SWE Internships,prep,,,
cleary-hk-winter-2026,Cleary Gottlieb,Winter Vacation Scheme 2026/27,researching,,2026-10-01,
reedsmith-hk-winter-2026,Reed Smith,Winter Vacation Scheme 2026/27,researching,,2026-10-31,
aiifl-fellow,HKU AIIFL,Undergraduate Student Fellows,prep,,,
laidlaw-lia-2027,HKU / Laidlaw Foundation,Leadership in Action (committed),deferred_lia,,,Committed — lock exact dates
